soc_code,job_title,automation_risk,annual_mean_salary,total_employment,creativity_level,manual_dexterity,critical_thinking
29-1081,Podiatrists,0.0046,144110.0,9800,3.38,3.25,4.25
29-1122,Occupational Therapists,0.0035,83730.0,118070,3.63,1.685,3.94
29-1123,Physical Therapists,0.021,87220.0,216920,3.12,3.0,3.88
29-1124,Radiation Therapists,0.34,84980.0,17450,2.62,3.0,3.75
29-1125,Recreational Therapists,0.0028,48190.0,18100,3.75,2.12,4.0
29-1126,Respiratory Therapists,0.066,60640.0,126770,3.0,3.0,4.0
29-1127,Speech-Language Pathologists,0.0064,78210.0,135980,3.88,0.75,4.12
29-1131,Veterinarians,0.038,100560.0,67650,3.38,3.5,4.25
29-1181,Audiologists,0.0033,79290.0,12310,3.0,2.75,4.25
29-2011,Medical and Clinical Laboratory Technologists,0.9,62440.0,166730,2.69,3.0,3.8449999999999998
29-2012,Medical and Clinical Laboratory Technicians,0.47,41700.0,160190,2.435,2.875,3.435
29-2031,Cardiovascular Technologists and Technicians,0.23,57100.0,53760,2.62,2.88,3.75
29-2032,Diagnostic Medical Sonographers,0.35,71750.0,65790,2.62,2.75,3.62
29-2033,Nuclear Medicine Technologists,0.13,75960.0,19650,2.75,2.88,3.62
29-2051,Dietetic Technicians,0.13,29360.0,32240,3.12,2.38,3.12
29-2052,Pharmacy Technicians,0.92,32170.0,398390,2.0,3.0,3.62
29-2053,Psychiatric Technicians,0.043,35870.0,61720,3.0,2.0,3.75
29-2055,Surgical Technologists,0.34,46800.0,105720,2.5,3.62,3.12
29-2056,Veterinary Technologists and Technicians,0.029,33870.0,99390,3.0,3.25,4.0
29-2061,Licensed Practical and Licensed Vocational Nurses,0.058,44840.0,702400,2.88,3.0,4.0
29-2081,Opticians; Dispensing,0.71,37860.0,75270,3.0,2.88,3.88
29-2091,Orthotists and Prosthetists,0.0035,69920.0,7500,3.62,3.0,4.12
29-9091,Athletic Trainers,0.0071,47880.0,24130,3.12,2.88,4.12
31-2011,Occupational Therapy Assistants,0.028,59530.0,38170,3.12,2.75,3.38
31-2012,Occupational Therapy Aides,0.27,31840.0,7210,2.62,2.75,3.38
31-2021,Physical Therapist Assistants,0.018,56850.0,85580,2.88,2.88,3.88
31-2022,Physical Therapist Aides,0.61,27890.0,50030,2.12,2.62,3.12
31-9011,Massage Therapists,0.54,44480.0,95830,2.88,3.0,3.12
31-9091,Dental Assistants,0.51,37890.0,327290,2.5,3.0,3.12
31-9092,Medical Assistants,0.3,32850.0,623560,2.75,2.25,3.62
31-9093,Medical Equipment Preparers,0.78,35960.0,52500,2.0,3.0,2.88
31-9094,Medical Transcriptionists,0.89,37150.0,54070,1.5,2.25,3.12
31-9095,Pharmacy Aides,0.72,28420.0,36660,1.5,2.12,2.88
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.86,26810.0,79990,2.0,2.88,3.12
33-1011,First-Line Supervisors of Correctional Officers,0.025,65100.0,43230,2.75,2.25,4.0
33-1012,First-Line Supervisors of Police and Detectives,0.0044,88400.0,100200,3.12,3.0,4.0
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,0.0036,77050.0,57170,3.12,3.0,4.0
33-2011,Firefighters,0.17,50520.0,315910,2.88,3.25,3.75
33-2021,Fire Inspectors and Investigators,0.48,61660.0,11910,3.0,2.12,3.75
33-2022,Forest Fire Inspectors and Prevention Specialists,0.048,44300.0,1650,3.0,2.38,3.88
33-3011,Bailiffs,0.36,45740.0,17880,1.38,1.25,3.12
33-3012,Correctional Officers and Jailers,0.6,46750.0,431600,2.25,3.0,3.62
33-3021,Detectives and Criminal Investigators,0.34,81490.0,104980,3.2533333333333334,1.8733333333333333,4.126666666666666
33-3031,Fish and Game Wardens,0.08,54760.0,6610,3.0,2.62,3.88
33-3041,Parking Enforcement Workers,0.84,39650.0,8920,1.5,2.0,3.0
33-3051,Police and Sheriffs Patrol Officers,0.098,62760.0,657690,2.63,2.81,3.94
33-3052,Transit and Railroad Police,0.57,67850.0,4810,3.0,2.75,3.38
33-9011,Animal Control Workers,0.21,36600.0,12970,2.75,3.0,3.5
33-9021,Private Detectives and Investigators,0.31,53530.0,28490,3.12,1.75,4.12
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.95,35280.0,10460,2.12,1.5,3.75
33-9032,Security Guards,0.84,29730.0,1103120,2.12,1.62,3.0
33-9091,Crossing Guards,0.49,29190.0,72900,0.88,1.88,2.5
33-9092,Lifeguards; Ski Patrol; and Other Recreational Protective Service Workers,0.67,22640.0,145100,2.0,2.12,3.0
35-1011,Chefs and Head Cooks,0.1,47390.0,134190,3.88,3.12,3.88
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,0.63,34700.0,908550,2.88,2.62,3.75
35-2011,Cooks; Fast Food,0.81,20570.0,513200,1.75,2.75,2.12
35-2012,Cooks; Institution and Cafeteria,0.83,26370.0,409850,2.5,3.0,2.88
35-2013,Cooks; Private Household,0.3,42220.0,370,3.12,2.88,3.12
35-2014,Cooks; Restaurant,0.96,25430.0,1217370,2.62,3.25,3.12
35-2015,Cooks; Short Order,0.94,23130.0,183990,1.62,3.0,2.88
35-2021,Food Preparation Workers,0.87,22920.0,850670,1.75,2.88,2.0
35-3011,Bartenders,0.77,25580.0,603320,2.75,3.0,2.88
35-3031,Waiters and Waitresses,0.94,24410.0,2564610,1.88,2.75,2.88
35-3041,Food Servers; Nonrestaurant,0.86,23490.0,261520,1.88,2.25,2.38
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,0.91,22340.0,423080,1.75,3.0,2.25
35-9021,Dishwashers,0.77,21260.0,506450,1.75,3.5,2.0
35-9031,Hosts and Hostesses; Restaurant; Lounge; and Coffee Shop,0.97,21410.0,404360,1.75,2.0,2.62
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,0.94,41240.0,161140,2.25,2.12,3.25
37-1012,First-Line Supervisors of Landscaping; Lawn Service; and Groundskeeping Workers,0.57,48790.0,103070,3.0,3.0,3.75
37-2011,Janitors and Cleaners; Except Maids and Housekeeping Cleaners,0.66,27030.0,2161740,1.88,2.38,2.12
37-2012,Maids and Housekeeping Cleaners,0.69,23830.0,924640,1.88,2.12,2.12
37-2021,Pest Control Workers,0.66,35020.0,72830,2.75,2.88,3.38
37-3011,Landscaping and Groundskeeping Workers,0.95,28560.0,906570,1.5,2.88,1.62
37-3012,Pesticide Handlers; Sprayers; and Applicators; Vegetation,0.97,35720.0,25230,2.0,3.0,2.75
37-3013,Tree Trimmers and Pruners,0.77,37310.0,40680,2.25,3.75,3.0
39-2011,Animal Trainers,0.1,34580.0,13590,3.25,2.88,3.38
39-2021,Nonfarm Animal Caretakers,0.82,24420.0,187360,1.88,2.25,2.88
39-3011,Gaming Dealers,0.96,21990.0,94570,1.75,2.75,2.88
39-3012,Gaming and Sports Book Writers and Runners,0.91,25710.0,11460,1.75,2.12,2.88
39-3021,Motion Picture Projectionists,0.97,24750.0,5480,2.0,2.88,2.75
39-3031,Ushers; Lobby Attendants; and Ticket Takers,0.96,21740.0,117920,1.88,1.88,2.75
39-3091,Amusement and Recreation Attendants,0.72,22000.0,286740,2.0,2.0,2.75
39-3092,Costume Attendants,0.61,50470.0,6640,3.12,2.88,2.88
39-3093,Locker Room; Coatroom; and Dressing Room Attendants,0.43,24390.0,18040,0.88,1.75,2.25
39-4011,Embalmers,0.54,42260.0,3710,2.75,3.12,3.12
39-4021,Funeral Attendants,0.37,27110.0,35770,1.62,2.0,2.62
39-5011,Barbers,0.8,29900.0,15900,2.75,3.12,2.75
39-5012,Hairdressers; Hairstylists; and Cosmetologists,0.11,29590.0,352380,3.12,3.75,3.5
39-5091,Makeup Artists; Theatrical and Performance,0.01,71590.0,3600,3.62,3.5,3.38
39-5092,Manicurists and Pedicurists,0.95,24330.0,90630,2.12,2.38,2.5
39-5093,Shampooers,0.79,20960.0,15240,1.62,2.88,2.12
39-5094,Skincare Specialists,0.29,35160.0,43980,2.75,2.75,3.0
39-6011,Baggage Porters and Bellhops,0.83,24910.0,44750,2.0,2.5,2.75
39-6012,Concierges,0.21,31440.0,32020,3.0,0.12,3.5
39-7011,Tour Guides and Escorts,0.91,28100.0,38660,2.62,0.62,3.12
39-7012,Travel Guides,0.057,35930.0,3030,3.25,1.88,3.75
39-9011,Childcare Workers,0.084,22930.0,569370,2.94,2.125,3.06
39-9031,Fitness Trainers and Aerobics Instructors,0.085,42780.0,257410,3.0,3.0,3.0
39-9032,Recreation Workers,0.0061,27230.0,336880,3.5,0.75,3.62
39-9041,Residential Advisors,0.064,27690.0,110330,3.0,1.0,4.0
41-1011,First-Line Supervisors of Retail Sales Workers,0.28,43910.0,1194220,3.12,2.0,3.88
41-1012,First-Line Supervisors of Non-Retail Sales Workers,0.075,85830.0,252670,3.38,0.75,3.88
41-2011,Cashiers,0.97,21680.0,3541010,2.0,2.12,2.75
41-2012,Gaming Change Persons and Booth Cashiers,0.83,25940.0,23120,2.12,2.12,2.88
41-2021,Counter and Rental Clerks,0.97,29390.0,450330,2.12,2.0,2.88
41-2022,Parts Salespersons,0.98,33220.0,248740,2.5,2.38,3.25
41-2031,Retail Salespersons,0.92,27180.0,4528550,2.62,1.88,3.12
41-3011,Advertising Sales Agents,0.54,63660.0,141100,3.38,0.0,3.75
41-3021,Insurance Sales Agents,0.92,67760.0,385700,3.0,0.0,3.88
41-3031,Securities; Commodities; and Financial Services Sales Agents,0.016,102260.0,353780,3.0,0.12,3.75
41-3041,Travel Agents,0.099,39900.0,68680,3.0,0.75,3.75
41-4011,Sales Representatives; Wholesale and Manufacturing; Technical and Scientific Products,0.25,92910.0,328370,3.31,0.25,3.685
41-4012,Sales Representatives; Wholesale and Manufacturing; Except Technical and Scientific Products,0.85,68410.0,1404050,3.0,1.38,3.75
41-9011,Demonstrators and Product Promoters,0.51,30570.0,86500,3.0,1.38,3.0
41-9012,Models,0.98,36560.0,4390,2.12,0.5,1.88
41-9021,Real Estate Brokers,0.97,79340.0,40850,2.88,0.0,4.0
41-9022,Real Estate Sales Agents,0.86,59360.0,151840,2.62,0.62,3.75
41-9031,Sales Engineers,0.0041,108880.0,74330,3.75,1.5,4.0
41-9041,Telemarketers,0.99,27170.0,215290,2.12,0.5,3.12
41-9091,Door-to-Door Sales Workers; News and Street Vendors; and Related Workers,0.94,28630.0,8040,3.0,0.25,3.12
43-1011,First-Line Supervisors of Office and Administrative Support Workers,0.014,57890.0,1443150,3.38,0.5,3.88
43-2011,Switchboard Operators; Including Answering Service,0.96,29720.0,90910,1.75,1.75,2.75
43-2021,Telephone Operators,0.97,43030.0,8860,1.75,1.38,2.88
